Customer_ID,Account_ID,Account_Status,BUS_ENT,Account_Start_Date,MSISDN,Bill_Plan
7812599,14058,INACTACT,Enterprise,2/6/2025,9959650797,103
7812600,14059,ACT,Enterprise,2/19/2025,9959650798,101
7812601,14060,INACT,Enterprise,1/13/2025,9959650799,101
7812602,14061,INACT,Enterprise,2/4/2025,9959650800,101
7812603,14062,ACT,Enterprise,1/3/2025,9959650801,101
7812604,14063,ACT,Enterprise,3/6/2025,9959650802,102
7812607,14066,ACT,Enterprise,1/31/2025,9959650805,103
7812610,14069,ACT,Enterprise,1/3/2025,9959650808,101
7812614,14073,ACT,Enterprise,3/29/2025,9959650812,102
7812615,14074,ACT,Enterprise,3/30/2025,9959650813,102
7812616,14075,ACT,Enterprise,2/21/2025,9959650814,102
7812617,14076,ACT,Enterprise,1/21/2025,9959650815,102
7812618,14077,ACT,Enterprise,3/7/2025,9959650816,101
7812619,14078,ACT,Enterprise,1/13/2025,9959650817,103
7812620,14079,ACT,Enterprise,3/23/2025,9959650818,103
7812621,14080,ACT,Enterprise,3/21/2025,9959650819,103
7812622,14081,ACT,Enterprise,3/17/2025,9959650820,103
7812623,14082,ACT,Enterprise,3/24/2025,9959650821,103
7812624,14083,ACT,Residence,3/17/2025,9959650822,103
7812625,14084,ACT,Residence,2/14/2025,9959650823,103
7812626,14085,ACT,Residence,1/30/2025,9959650824,103
7812627,14086,ACT,Residence,2/26/2025,9959650825,103
7812628,14087,ACT,Residence,3/23/2025,9959650826,104
7812629,14088,ACT,Residence,3/18/2025,9959650827,101
7812630,14089,ACT,Residence,2/19/2025,9959650828,103
7812631,14090,INACT,Residence,2/13/2025,9959650829,101
7812632,14091,INACT,Residence,2/13/2025,9959650830,101
7812633,14092,ACT,Residence,3/13/2025,9959650831,101
7812634,14093,ACT,Enterprise,2/27/2025,9959650832,101
7812635,14094,ACT,Enterprise,3/30/2025,9959650833,101
7812636,14095,ACT,Enterprise,3/22/2025,9959650834,103
