MSISDN,Account Status,Usage Type,Usage Sub Type,Transaction Date,Download (MB),Service ID,Service Name,Service Status,Service Start Date,Service End Date
9959650797,A,Data,Local,4/17/2025 9:31,4428,15,Local_5GB,A,4/1/2025,5/1/2025
9959650798,A,Data,Intl Roaming,4/17/2025 6:25,2700,55,Roaming_5GB,A,4/1/2025,5/31/2025
9959650799,A,Data,Local,4/17/2025 9:32,4058,15,Local_5GB,A,4/1/2025,5/1/2025
9959650800,A,Data,Local,4/17/2025 13:16,1704,15,Local_5GB,A,4/1/2025,5/1/2025
9959650801,A,Data,Local,4/17/2025 0:33,6308,25,Local_10GB,A,3/1/2025,5/1/2025
9959650802,A,Data,Local,4/17/2025 11:42,5050,25,Local_10GB,A,3/1/2025,5/1/2025
9959650802,A,Data,Local,4/17/2025 20:25,8571,25,Local_10GB,A,3/1/2025,5/1/2025
9959650805,A,Data,Local,4/17/2025 4:46,7714,25,Local_10GB,A,3/1/2025,5/1/2025
9959650805,A,Data,Local,4/17/2025 13:12,3439,25,Local_10GB,A,3/1/2025,5/1/2025
9959650805,A,Data,Local,4/17/2025 23:13,2582,15,Local_5GB,A,4/1/2025,5/1/2025
9959650808,A,Data,Local,4/17/2025 10:02,8198,15,Local_5GB,A,4/1/2025,5/1/2025
9959650808,A,Data,Intl Roaming,4/17/2025 20:35,9962,25,Local_10GB,A,3/1/2025,3/31/2025
9959650808,A,Data,Local,4/17/2025 3:01,9007,65,Roaming_10GB,A,4/1/2025,5/31/2025
9959650808,A,Data,Local,4/17/2025 4:44,4598,25,Local_10GB,A,3/1/2025,3/31/2025
9959650812,A,Data,Local,4/17/2025 6:45,5977,15,Local_5GB,A,4/1/2025,5/1/2025
9959650813,A,Data,Local,4/17/2025 16:05,6535,25,Local_10GB,A,3/1/2025,3/31/2025
9959650814,A,Data,Local,4/17/2025 5:01,5280,25,Local_10GB,A,3/1/2025,3/31/2025
9959650815,A,Data,Local,4/17/2025 19:10,1180,25,Local_10GB,A,3/1/2025,3/31/2025
9959650816,A,Data,Local,4/17/2025 6:10,9562,15,Local_5GB,A,4/1/2025,5/1/2025
9959650817,A,Data,Local,4/17/2025 13:49,3507,25,Local_10GB,A,3/1/2025,3/31/2025
9959650818,A,Data,Local,4/17/2025 17:15,7411,15,Local_5GB,A,4/1/2025,5/1/2025
9959650819,A,Data,Local,4/17/2025 13:49,6381,25,Local_10GB,A,3/1/2025,3/31/2025
9959650820,A,Data,Local,4/17/2025 0:42,4771,25,Local_10GB,A,3/1/2025,3/31/2025
9959650821,A,Data,Local,4/17/2025 6:07,6483,15,Local_5GB,A,4/1/2025,5/1/2025
9959650822,A,Data,Local,4/17/2025 12:09,1015,25,Local_10GB,A,3/1/2025,3/31/2025
9959650823,A,Data,Local,4/17/2025 18:18,7679,15,Local_5GB,D,4/1/2025,4/15/2025
9959650824,A,Data,Local,4/17/2025 21:32,1933,25,Local_10GB,A,3/1/2025,3/31/2025
9959650825,A,Data,Local,4/17/2025 13:12,3544,15,Local_5GB,A,4/1/2025,5/1/2025
